source_ip,dest_ip,hits,switches
10.0.0.3,10.0.0.16,8,a2 a8 t2 t8
10.0.0.3,10.0.0.16,8,a2 a8 c4
10.0.0.3,10.0.0.16,4,a1 a7 c1
10.0.0.3,10.0.0.16,4,a2 t2
10.0.0.3,10.0.0.16,4,a1 a7 t2 t8
10.0.0.3,10.0.0.16,8,a2 a8 c4 t2 t8
10.0.0.3,10.0.0.16,4,a1 t2
10.0.0.3,10.0.0.16,29,a1 a7 c2 t2 t8
10.0.0.3,10.0.0.16,130,a1 a2 a7 a8 c1 c2 c4 t2 t8
10.0.0.3,10.0.0.16,19,a2 a7 a8 c2 c3 c4 t2 t8
10.0.0.3,10.0.0.16,10,a2 a8 c3 t2 t8
10.0.0.13,10.0.0.1,890,a2 a8 c3 t1 t7
10.0.0.13,10.0.0.1,150,a1 a2 a7 a8 c2 c3 t1 t7
10.0.0.13,10.0.0.1,1080,a1 a7 c1 t1 t7
10.0.0.13,10.0.0.1,1130,a1 a7 c2 t1 t7
10.0.0.13,10.0.0.1,920,a2 a8 c4 t1 t7
10.0.0.16,10.0.0.3,1000,a2 a8 c3 t2 t8
10.0.0.16,10.0.0.3,1070,a1 a7 c2 t2 t8
10.0.0.16,10.0.0.3,130,a1 a2 a7 a8 c1 c4 t2 t8
10.0.0.16,10.0.0.3,980,a1 a7 c1 t2 t8
10.0.0.16,10.0.0.3,970,a2 a8 c4 t2 t8
10.0.0.16,10.0.0.3,30,a1 a2 a7 a8 c2 c4 t2 t8
10.0.0.1,10.0.0.13,130,a1 a2 a7 a8 c1 c3 c4 t1 t7
10.0.0.1,10.0.0.13,4,a2 t1
10.0.0.1,10.0.0.13,4,a2 a8 c4
10.0.0.1,10.0.0.13,16,a1 a7 a8 c2 c3 t1 t7
10.0.0.1,10.0.0.13,34,a1 a7 c1 t1 t7
10.0.0.1,10.0.0.13,4,a1 a7 t1 t7
10.0.0.1,10.0.0.13,4,a1 a7 c1
10.0.0.1,10.0.0.13,20,a2 a8 c3 t1 t7
10.0.0.1,10.0.0.13,8,a2 a8 c4 t1 t7
10.0.0.1,10.0.0.13,4,a2 a8 t1 t7
